start,duration,value
2019-12-28T13:35:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2019-12-28T13:58:00+01:00,[60],[0]
2019-12-28T14:00:00+01:00,[60],[0]
2019-12-28T14:06:00+01:00,[60],[0]
2019-12-28T14:15:00+01:00,[60],[0]
2019-12-28T14:33:00+01:00,"[60,60]","[0,0]"
2019-12-28T14:37:00+01:00,[60],[0]
2019-12-28T14:51:00+01:00,[60],[0]
2019-12-28T14:55:00+01:00,[60],[0]
2019-12-28T14:58:00+01:00,[60],[0]
2019-12-28T15:00:00+01:00,[60],[0]
2019-12-28T15:06:00+01:00,"[60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0]"
2019-12-28T15:32:00+01:00,[60],[0]
2019-12-28T15:41:00+01:00,[60],[0]
2019-12-28T15:44:00+01:00,[60],[0]
2019-12-28T16:00:00+01:00,"[60,60]","[0,0]"
2019-12-28T16:05:00+01:00,[60],[0]
2019-12-28T16:15:00+01:00,[60],[0]
2019-12-28T16:24:00+01:00,"[60,60]","[0,0]"
2019-12-28T16:27:00+01:00,[60],[0]
2019-12-28T16:38:00+01:00,[60],[0]
2019-12-28T17:00:00+01:00,"[60,60]","[0,0]"
2019-12-28T17:19:00+01:00,[60],[0]
2019-12-28T17:30:00+01:00,[60],[0]
2019-12-28T17:46:00+01:00,[60],[0]
2019-12-28T16:26:00+01:00,[60],[0]
2019-12-28T17:50:00+01:00,[60],[0]
2019-12-28T17:59:00+01:00,[60],[0]
2019-12-28T18:04:00+01:00,"[60,60,60]","[0,0,0]"
2019-12-28T18:10:00+01:00,"[60,60,60]","[0,0,0]"
2019-12-28T18:17:00+01:00,"[60,60,60,60]","[0,0,0,0]"
2019-12-28T18:22:00+01:00,"[60,60,60]","[0,0,0]"
2019-12-28T18:21:00+01:00,[60],[0]
2019-12-28T18:25:00+01:00,[60],[0]
2019-12-28T18:56:00+01:00,[60],[0]
2019-12-28T19:06:00+01:00,[60],[0]
2019-12-28T19:11:00+01:00,[60],[0]
2019-12-28T19:14:00+01:00,[60],[0]
2019-12-28T19:21:00+01:00,[60],[0]
2019-12-28T19:24:00+01:00,[60],[0]
2019-12-28T19:35:00+01:00,"[60,60]","[0,0]"
2019-12-28T19:39:00+01:00,[60],[0]
2019-12-28T18:28:00+01:00,[60],[0]
2019-12-28T19:42:00+01:00,[60],[0]
2019-12-28T19:57:00+01:00,"[60,60]","[0,0]"
2019-12-28T20:35:00+01:00,[60],[0]
2019-12-28T20:47:00+01:00,[60],[0]
2019-12-28T20:49:00+01:00,[60],[0]
2019-12-28T20:53:00+01:00,[60],[0]
2019-12-28T20:55:00+01:00,[60],[0]
2019-12-28T20:58:00+01:00,[60],[0]
2019-12-28T21:09:00+01:00,[60],[0]
2019-12-28T21:13:00+01:00,[60],[0]
2019-12-28T21:15:00+01:00,"[60,60]","[0,0]"
2019-12-28T21:24:00+01:00,[60],[0]
2019-12-28T21:26:00+01:00,[60],[0]
2019-12-28T21:49:00+01:00,"[60,60]","[0,0]"
2019-12-28T22:08:00+01:00,[60],[0]
2019-12-28T22:18:00+01:00,[60],[0]
2019-12-28T22:36:00+01:00,[60],[0]
2019-12-28T22:57:00+01:00,[60],[0]
2019-12-28T23:11:00+01:00,[60],[0]
2019-12-28T23:16:00+01:00,[60],[0]
2019-12-28T23:18:00+01:00,"[60,60,60]","[0,0,0]"
2019-12-28T23:25:00+01:00,[60],[0]
2019-12-28T23:32:00+01:00,"[60,60]","[0,0]"
2019-12-28T23:35:00+01:00,"[60,60]","[0,0]"
2019-12-28T23:42:00+01:00,[60],[0]
2019-12-28T23:56:00+01:00,[60],[0]
2019-12-28T23:58:00+01:00,[60],[0]
2019-12-29T00:01:00+01:00,"[60,60]","[0,0]"
2019-12-29T00:07:00+01:00,[60],[0]
2019-12-29T09:46:00+01:00,[60],[0]
2019-12-29T09:48:00+01:00,"[60,60]","[0,0]"
2019-12-29T09:54:00+01:00,[60],[0]
2019-12-29T09:56:00+01:00,[60],[0]
2019-12-29T10:27:00+01:00,[60],[0]
2019-12-29T10:33:00+01:00,"[60,60]","[0,0]"
2019-12-29T10:37:00+01:00,[60],[0]
2019-12-29T10:45:00+01:00,[60],[0]
2019-12-29T11:08:00+01:00,[60],[0]
2019-12-29T11:13:00+01:00,[60],[0]
2019-12-29T11:23:00+01:00,[60],[0]
2019-12-29T11:27:00+01:00,"[60,60,60]","[0,0,0]"
2019-12-29T11:31:00+01:00,"[60,60,60,60]","[0,0,0,0]"
2019-12-29T11:42:00+01:00,[60],[0]
2019-12-29T11:47:00+01:00,[60],[0]
2019-12-29T11:58:00+01:00,[60],[0]
2019-12-29T12:00:00+01:00,[60],[0]
2019-12-29T12:02:00+01:00,"[60,60,60]","[0,0,0]"
2019-12-29T12:12:00+01:00,"[60,60,60,60]","[0,0,0,0]"
2019-12-29T12:25:00+01:00,[60],[0]
2019-12-29T12:30:00+01:00,[60],[0]
2019-12-29T12:37:00+01:00,"[60,60]","[0,0]"
2019-12-29T13:01:00+01:00,[60],[0]
2019-12-29T13:04:00+01:00,[60],[0]
2019-12-29T13:13:00+01:00,"[60,60]","[0,0]"
2019-12-29T13:16:00+01:00,[60],[0]
2019-12-29T13:31:00+01:00,[60],[0]
2019-12-29T13:40:00+01:00,[60],[0]
2019-12-29T13:58:00+01:00,"[60,60]","[0,0]"
2019-12-29T14:06:00+01:00,[60],[0]
2019-12-29T14:08:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0,0,0,0]"
2019-12-29T14:25:00+01:00,"[60,60]","[0,0]"
2019-12-29T14:29:00+01:00,"[60,60,60,60,60]","[0,0,0,0,0]"
2019-12-29T10:30:00+01:00,"[60,60]","[0,0]"
2019-12-29T10:36:00+01:00,[60],[0]
2019-12-29T12:51:00+01:00,[60],[0]
2019-12-29T13:27:00+01:00,[60],[0]
2019-12-29T13:36:00+01:00,[60],[0]
2019-12-29T14:28:00+01:00,[60],[0]
2019-12-29T14:34:00+01:00,[60],[0]
2019-12-29T14:35:00+01:00,[60],[0]
2019-12-29T14:40:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2019-12-29T15:26:00+01:00,"[60,60]","[0,0]"
2019-12-29T15:31:00+01:00,"[60,60,60,60,60,60,60]","[0,0,0,0,0,0,0]"
2019-12-29T15:39:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
